date,track_id,location,popularity,energy,valence,tempo,danceability
2024-12-15,track_1,New York City,64,0.5637561258227557,0.6074448361926499,129.2797576724562,0.6197316968394073
2024-12-15,track_2,New York City,54,0.49819968230127787,0.36902890037053593,102.32334448672798,0.673235229154987
2024-12-15,track_3,New York City,62,0.6317285936915096,0.5346523176084887,100.8233797718321,0.6939819704323988
2024-12-15,track_4,New York City,58,0.7011268824086735,0.38593227747315795,107.27299868828402,0.5366809019706867
2024-12-15,track_5,New York City,59,0.5426667630564083,0.4796574737593464,117.27780074568463,0.5582458280396083
2024-12-15,track_1,"London, UK",69,0.5637561258227557,0.6074448361926499,129.2797576724562,0.6197316968394073
2024-12-15,track_2,"London, UK",54,0.49819968230127787,0.36902890037053593,102.32334448672798,0.673235229154987
2024-12-15,track_3,"London, UK",71,0.6317285936915096,0.5346523176084887,100.8233797718321,0.6939819704323988
2024-12-15,track_4,"London, UK",65,0.7011268824086735,0.38593227747315795,107.27299868828402,0.5366809019706867
2024-12-15,track_5,"London, UK",61,0.5426667630564083,0.4796574737593464,117.27780074568463,0.5582458280396083
2024-12-15,track_1,"Tokyo, Japan",66,0.5637561258227557,0.6074448361926499,129.2797576724562,0.6197316968394073
2024-12-15,track_2,"Tokyo, Japan",61,0.49819968230127787,0.36902890037053593,102.32334448672798,0.673235229154987
2024-12-15,track_3,"Tokyo, Japan",64,0.6317285936915096,0.5346523176084887,100.8233797718321,0.6939819704323988
2024-12-15,track_4,"Tokyo, Japan",61,0.7011268824086735,0.38593227747315795,107.27299868828402,0.5366809019706867
2024-12-15,track_5,"Tokyo, Japan",60,0.5426667630564083,0.4796574737593464,117.27780074568463,0.5582458280396083
2024-12-15,track_1,"Miami, USA",72,0.6201317384050313,0.6074448361926499,129.2797576724562,0.6197316968394073
2024-12-15,track_2,"Miami, USA",64,0.5480196505314057,0.36902890037053593,102.32334448672798,0.673235229154987
2024-12-15,track_3,"Miami, USA",76,0.6949014530606606,0.5346523176084887,100.8233797718321,0.6939819704323988
2024-12-15,track_4,"Miami, USA",57,0.7712395706495409,0.38593227747315795,107.27299868828402,0.5366809019706867
2024-12-15,track_5,"Miami, USA",71,0.5969334393620491,0.4796574737593464,117.27780074568463,0.5582458280396083
2024-12-15,track_1,"Berlin, Germany",67,0.5919439321138935,0.6074448361926499,129.2797576724562,0.6197316968394073
2024-12-15,track_2,"Berlin, Germany",52,0.5231096664163418,0.36902890037053593,102.32334448672798,0.673235229154987
2024-12-15,track_3,"Berlin, Germany",60,0.6633150233760851,0.5346523176084887,100.8233797718321,0.6939819704323988
2024-12-15,track_4,"Berlin, Germany",68,0.7361832265291072,0.38593227747315795,107.27299868828402,0.5366809019706867
2024-12-15,track_5,"Berlin, Germany",72,0.5698001012092287,0.4796574737593464,117.27780074568463,0.5582458280396083
2024-12-16,track_1,New York City,55,0.5635615081225903,0.6071334478723853,129.2797576724562,0.6197316968394073
2024-12-16,track_2,New York City,62,0.49800506460111255,0.36871751205027137,102.32334448672798,0.673235229154987
2024-12-16,track_3,New York City,68,0.6315339759913442,0.5343409292882242,100.8233797718321,0.6939819704323988
2024-12-16,track_4,New York City,62,0.7009322647085081,0.3856208891528934,107.27299868828402,0.5366809019706867
2024-12-16,track_5,New York City,69,0.5424721453562429,0.47934608543908186,117.27780074568463,0.5582458280396083
2024-12-16,track_1,"London, UK",68,0.5635615081225903,0.6071334478723853,129.2797576724562,0.6197316968394073
2024-12-16,track_2,"London, UK",54,0.49800506460111255,0.36871751205027137,102.32334448672798,0.673235229154987
2024-12-16,track_3,"London, UK",65,0.6315339759913442,0.5343409292882242,100.8233797718321,0.6939819704323988
2024-12-16,track_4,"London, UK",60,0.7009322647085081,0.3856208891528934,107.27299868828402,0.5366809019706867
2024-12-16,track_5,"London, UK",64,0.5424721453562429,0.47934608543908186,117.27780074568463,0.5582458280396083
2024-12-16,track_1,"Tokyo, Japan",64,0.5635615081225903,0.6071334478723853,129.2797576724562,0.6197316968394073
2024-12-16,track_2,"Tokyo, Japan",60,0.49800506460111255,0.36871751205027137,102.32334448672798,0.673235229154987
2024-12-16,track_3,"Tokyo, Japan",66,0.6315339759913442,0.5343409292882242,100.8233797718321,0.6939819704323988
2024-12-16,track_4,"Tokyo, Japan",60,0.7009322647085081,0.3856208891528934,107.27299868828402,0.5366809019706867
2024-12-16,track_5,"Tokyo, Japan",60,0.5424721453562429,0.47934608543908186,117.27780074568463,0.5582458280396083
2024-12-16,track_1,"Miami, USA",74,0.6199176589348494,0.6071334478723853,129.2797576724562,0.6197316968394073
2024-12-16,track_2,"Miami, USA",62,0.5478055710612239,0.36871751205027137,102.32334448672798,0.673235229154987
2024-12-16,track_3,"Miami, USA",56,0.6946873735904787,0.5343409292882242,100.8233797718321,0.6939819704323988
2024-12-16,track_4,"Miami, USA",70,0.771025491179359,0.3856208891528934,107.27299868828402,0.5366809019706867
2024-12-16,track_5,"Miami, USA",66,0.5967193598918672,0.47934608543908186,117.27780074568463,0.5582458280396083
2024-12-16,track_1,"Berlin, Germany",66,0.5917395835287198,0.6071334478723853,129.2797576724562,0.6197316968394073
2024-12-16,track_2,"Berlin, Germany",68,0.5229053178311682,0.36871751205027137,102.32334448672798,0.673235229154987
2024-12-16,track_3,"Berlin, Germany",66,0.6631106747909115,0.5343409292882242,100.8233797718321,0.6939819704323988
2024-12-16,track_4,"Berlin, Germany",65,0.7359788779439336,0.3856208891528934,107.27299868828402,0.5366809019706867
2024-12-16,track_5,"Berlin, Germany",73,0.569595752624055,0.47934608543908186,117.27780074568463,0.5582458280396083
2024-12-17,track_1,New York City,63,0.5633813510719343,0.6068451965913356,129.2797576724562,0.6197316968394073
